종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,업종명
011150,CJ씨푸드,KOSPI,,4510,-55,-1.2,4550,4630,4480,792268,3595018820,162047786230,35930773,음식료품
011155,CJ씨푸드1우,KOSPI,,22200,200,0.91,21750,22800,21750,212,4653400,4440000000,200000,음식료품
001045,CJ우,KOSPI,,58800,-1500,-2.49,60300,60400,58200,10570,620081500,132901112400,2260223,기타금융
097950,CJ제일제당,KOSPI,,370500,3000,0.82,372000,372000,364500,20207,7450334000,5577575913000,15054186,음식료품
097955,CJ제일제당 우,KOSPI,,150000,1800,1.21,148200,150800,148100,2054,307227700,199114950000,1327433,음식료품
051500,CJ프레시웨이,KOSDAQ,우량기업부,20300,50,0.25,20400,20450,20200,16877,342239300,240993195800,11871586,유통
058820,CMG제약,KOSDAQ,우량기업부,2240,85,3.94,2155,2255,2155,562038,1237938740,311118626560,138892244,제약
023460,CNH,KOSDAQ,중견기업부,2135,-105,-4.69,2245,2245,2080,114028,245259835,79422000000,37200000,금융
056730,CNT85,KOSDAQ,중견기업부,887,1,0.11,893,893,879,18134,16124642,65736621982,74111186,건설
000480,CR홀딩스,KOSPI,,5950,-100,-1.65,6050,6650,5890,350729,2192296460,278998415500,46890490,비금속광물
065770,CS,KOSDAQ,벤처기업부,1172,0,0.0,1173,1184,1166,14881,17471184,22749844360,19411130,일반전기전자
083660,CSA 코스믹,KOSDAQ,중견기업부,1089,-14,-1.27,1100,1100,1063,29194,31409678,66698180109,61247181,화학
000590,CS홀딩스,KOSPI,,69900,-100,-0.14,69800,69900,69700,242,16911000,80698291800,1154482,기타금융
